,single_q,double_q,dashes,braces,spaces,badwords,class,Cluster
373,3.0,0.0,1.0,0.0,0.0,3.0,bad,Cluster 1
374,,,,,,,,Cluster 0
375,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
376,,,,,,,,Cluster 0
377,0.0,5.0,0.0,0.0,0.0,1.0,bad,Cluster 0
378,,,,,,,,Cluster 0
379,0.0,5.0,0.0,0.0,0.0,1.0,bad,Cluster 0
380,,,,,,,,Cluster 0
381,0.0,5.0,1.0,0.0,0.0,1.0,bad,Cluster 1
382,,,,,,,,Cluster 0
383,0.0,4.0,0.0,0.0,0.0,1.0,bad,Cluster 0
384,,,,,,,,Cluster 0
385,0.0,5.0,0.0,1.0,0.0,1.0,bad,Cluster 2
386,,,,,,,,Cluster 0
387,0.0,5.0,0.0,1.0,0.0,1.0,bad,Cluster 2
388,,,,,,,,Cluster 0
389,0.0,5.0,1.0,1.0,0.0,1.0,bad,Cluster 1
390,,,,,,,,Cluster 0
391,0.0,4.0,0.0,1.0,0.0,1.0,bad,Cluster 2
392,,,,,,,,Cluster 0
393,0.0,5.0,0.0,0.0,0.0,1.0,bad,Cluster 0
394,,,,,,,,Cluster 0
395,0.0,5.0,0.0,0.0,0.0,1.0,bad,Cluster 0
396,,,,,,,,Cluster 0
397,0.0,5.0,1.0,0.0,0.0,1.0,bad,Cluster 1
398,,,,,,,,Cluster 0
399,0.0,4.0,0.0,0.0,0.0,1.0,bad,Cluster 0
400,,,,,,,,Cluster 0
401,0.0,1.0,0.0,0.0,0.0,1.0,bad,Cluster 0
402,,,,,,,,Cluster 0
403,0.0,1.0,0.0,0.0,0.0,1.0,bad,Cluster 0
404,,,,,,,,Cluster 0
405,0.0,4.0,0.0,0.0,0.0,1.0,bad,Cluster 0
406,,,,,,,,Cluster 0
407,0.0,4.0,0.0,0.0,0.0,1.0,bad,Cluster 0
408,,,,,,,,Cluster 0
409,5.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 3
410,,,,,,,,Cluster 0
411,5.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 3
412,,,,,,,,Cluster 0
413,5.0,0.0,1.0,0.0,0.0,1.0,bad,Cluster 3
414,,,,,,,,Cluster 0
415,4.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 3
416,,,,,,,,Cluster 0
417,5.0,0.0,0.0,1.0,0.0,1.0,bad,Cluster 3
418,,,,,,,,Cluster 0
419,5.0,0.0,0.0,1.0,0.0,1.0,bad,Cluster 3
420,,,,,,,,Cluster 0
421,5.0,0.0,1.0,1.0,0.0,1.0,bad,Cluster 3
422,,,,,,,,Cluster 0
423,4.0,0.0,0.0,1.0,0.0,1.0,bad,Cluster 3
424,,,,,,,,Cluster 0
425,1.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
426,,,,,,,,Cluster 0
427,1.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
428,,,,,,,,Cluster 0
429,1.0,0.0,1.0,0.0,0.0,1.0,bad,Cluster 1
430,,,,,,,,Cluster 0
431,2.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 3
432,,,,,,,,Cluster 0
433,5.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 3
434,,,,,,,,Cluster 0
435,5.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 3
436,,,,,,,,Cluster 0
437,5.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 3
438,,,,,,,,Cluster 0
439,5.0,0.0,1.0,0.0,0.0,1.0,bad,Cluster 3
440,,,,,,,,Cluster 0
441,4.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 3
442,,,,,,,,Cluster 0
443,1.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
444,,,,,,,,Cluster 0
445,1.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
446,,,,,,,,Cluster 0
447,1.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
448,,,,,,,,Cluster 0
449,1.0,0.0,1.0,0.0,0.0,1.0,bad,Cluster 1
450,,,,,,,,Cluster 0
451,4.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 3
452,,,,,,,,Cluster 0
453,0.0,0.0,0.0,5.0,0.0,1.0,bad,Cluster 2
454,,,,,,,,Cluster 0
455,4.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 3
456,,,,,,,,Cluster 0
457,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
458,,,,,,,,Cluster 0
459,0.0,0.0,0.0,2.0,0.0,1.0,bad,Cluster 2
460,,,,,,,,Cluster 0
461,0.0,0.0,0.0,2.0,0.0,1.0,bad,Cluster 2
462,,,,,,,,Cluster 0
463,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
464,,,,,,,,Cluster 0
465,0.0,0.0,0.0,1.0,0.0,2.0,bad,Cluster 2
466,,,,,,,,Cluster 0
467,0.0,0.0,0.0,1.0,0.0,2.0,bad,Cluster 2
468,,,,,,,,Cluster 0
469,0.0,0.0,0.0,1.0,0.0,2.0,bad,Cluster 2
470,,,,,,,,Cluster 0
471,0.0,0.0,0.0,1.0,0.0,2.0,bad,Cluster 2
472,,,,,,,,Cluster 0
473,0.0,0.0,0.0,1.0,0.0,2.0,bad,Cluster 2
474,,,,,,,,Cluster 0
475,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
476,,,,,,,,Cluster 0
477,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
478,,,,,,,,Cluster 0
479,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
480,,,,,,,,Cluster 0
481,0.0,0.0,0.0,1.0,0.0,2.0,bad,Cluster 2
482,,,,,,,,Cluster 0
483,0.0,0.0,0.0,1.0,0.0,1.0,bad,Cluster 2
484,,,,,,,,Cluster 0
485,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
486,,,,,,,,Cluster 0
487,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
488,,,,,,,,Cluster 0
489,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
490,,,,,,,,Cluster 0
491,4.0,0.0,0.0,1.0,0.0,1.0,bad,Cluster 3
492,,,,,,,,Cluster 0
493,4.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 3
494,,,,,,,,Cluster 0
495,5.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 3
496,,,,,,,,Cluster 0
497,1.0,0.0,1.0,0.0,0.0,1.0,bad,Cluster 1
498,,,,,,,,Cluster 0
499,0.0,1.0,1.0,0.0,0.0,1.0,bad,Cluster 1
500,,,,,,,,Cluster 0
501,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
502,,,,,,,,Cluster 0
503,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
504,,,,,,,,Cluster 0
505,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
506,,,,,,,,Cluster 0
507,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
508,,,,,,,,Cluster 0
509,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
510,,,,,,,,Cluster 0
511,0.0,0.0,1.0,0.0,0.0,1.0,bad,Cluster 1
